representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
tfidf_char_3_5	context_marker_10	within_lemma	evidence	432	0.5486111111111112	0.45616656500522834	0.45959257975034673	5.0
tfidf_char_3_5	context_marker_scope_10	within_lemma	evidence	432	0.5439814814814815	0.4528773817822702	0.4558801434013889	5.0
tfidf_char_3_5	context_only_20	within_lemma	evidence	432	0.5347222222222222	0.4197691766668326	0.4192544738580544	5.0
tfidf_char_3_5	context_marker_20	within_lemma	evidence	432	0.5393518518518519	0.4236569486630483	0.4235502592645449	5.0
tfidf_char_3_5	context_marker_scope_20	within_lemma	evidence	432	0.5393518518518519	0.4363012041693638	0.43808869680205187	5.0
majority	none	random	function	688	0.8851744186046512	0.5	0.46954510408635314	5.0
tfidf_char_3_5	marker_only	random	function	688	0.8444767441860465	0.697335328719004	0.6689079485299739	5.0
tfidf_char_3_5	marker_scope	random	function	688	0.8473837209302325	0.5722911600257737	0.579860767812589	5.0
tfidf_char_3_5	context_only_1	random	function	688	0.8357558139534884	0.5381825362183285	0.5419899495119092	5.0
tfidf_char_3_5	context_marker_1	random	function	688	0.8430232558139535	0.5533038182536218	0.5593927893738141	5.0
tfidf_char_3_5	context_marker_scope_1	random	function	688	0.8415697674418605	0.5249423208829581	0.5272312338059424	5.0
tfidf_char_3_5	context_only_3	random	function	688	0.8125	0.55809482238989	0.5558291419563096	5.0
tfidf_char_3_5	context_marker_3	random	function	688	0.809593023255814	0.5509446904034421	0.5489427720641593	5.0
tfidf_char_3_5	context_marker_scope_3	random	function	688	0.811046511627907	0.5572738043274927	0.5547147266752962	5.0
tfidf_char_3_5	context_only_5	random	function	688	0.7877906976744186	0.5386294194674814	0.5334076551467856	5.0
tfidf_char_3_5	context_marker_5	random	function	688	0.7950581395348837	0.5537507015027748	0.5472480082888787	5.0
tfidf_char_3_5	context_marker_scope_5	random	function	688	0.7906976744186046	0.5402714555922762	0.5354054510326199	5.0
